id,name,description,voltage,materials,labour
S-33-TAN,33kV Single Pole Tangent,Standard tangent location for 33kV lines,33 kV,1:1;3:1;5:3;12:1,1:1;2:1;3:3
S-33-ANG30,33kV Single Pole Angle (0-30),Angle location (0-30 deg) for 33kV lines,33 kV,1:1;3:1;7:6;13:1;14:1,1:1;2:1;3:6;7:1
S-33-ANG60,33kV Single Pole Angle (30-60),Angle location (30-60 deg) for 33kV lines,33 kV,1:1;3:1;7:6;13:2;14:2,1:1;2:1;3:6;7:2
S-33-DE-SP,33kV Single Pole Dead End,Single pole dead-end structure,33 kV,1:1;3:1;7:6;13:1;14:2,1:1;2:1;3:6;7:2
S-33-DP,33kV DP Structure,Double pole structure for sectioning or large angles,33 kV,1:2;3:2;7:12;13:2;14:2,1:2;2:2;3:12;7:2
S-33-DP-DE,33kV DP Dead End,Double pole dead-end for line termination,33 kV,1:2;3:2;7:12;13:2;14:4,1:2;2:2;3:12;7:4
S-11-TAN-PIN,11kV Tangent (Pin),Standard tangent location for 11kV lines with Pin insulators,11 kV,2:1;4:1;6:3;12:1,1:1;2:1;3:3
S-11-TAN-DISC,11kV Tangent (Disc),Tangent location for 11kV lines with Disc insulators,11 kV,2:1;4:1;7:3;12:1,1:1;2:1;3:3
S-11-ANG30-PIN,11kV Angle (0-30 Pin),Angle location with Pin Insulators,11 kV,2:1;4:1;6:6;14:1,1:1;2:1;3:6;7:1
S-11-ANG30-DISC,11kV Angle (0-30 Disc),Angle location (0-30 deg) with Disc Insulators,11 kV,2:1;4:1;7:6;13:1;14:1,1:1;2:1;3:6;7:1
S-11-ANG60-DISC,11kV Angle (30-60 Disc),Angle location (30-60 deg) with Disc Insulators,11 kV,2:1;4:1;7:6;13:2;14:2,1:1;2:1;3:6;7:2
S-11-DE-SP,11kV Single Pole Dead End,Single pole dead-end with disc insulators,11 kV,2:1;4:1;7:6;13:1;14:2,1:1;2:1;3:6;7:2
S-11-DP,11kV DP Structure,Double pole structure for 11kV line,11 kV,2:2;4:2;7:12;13:2;14:2,1:2;2:2;3:12;7:2
S-LT-TAN-ABC-3P,LT 3-Ph Tangent Pole (AB Cable),Tangent pole for LT 3-Phase Aerial Bunched Cable,LT 3-Ph,2:1;12:1,1:1;2:1
S-LT-DE-ABC-3P,LT 3-Ph Dead End Pole (AB Cable),Dead end arrangement for LT 3-Phase AB Cable,LT 3-Ph,2:1;13:1;14:1,1:1;2:1;7:1
S-LT-4W-BARE,LT 3-Ph 4-Wire Bare Conductor,Tangent pole for LT 3-Phase 4-wire bare conductor line,LT 3-Ph,2:1;4:1;6:4,1:1;2:1;3:4
S-LT-TAN-ABC-1P,LT 1-Ph Tangent Pole (AB Cable),Tangent pole for LT 1-Phase Aerial Bunched Cable,LT 1-Ph,2:1;12:1,1:1;2:1
S-LT-DE-ABC-1P,LT 1-Ph Dead End Pole (AB Cable),Dead end arrangement for LT 1-Phase AB Cable,LT 1-Ph,2:1;13:1;14:1,1:1;2:1;7:1
S-LT-2W-BARE,LT 1-Ph 2-Wire Bare Conductor,Tangent pole for LT 1-Phase 2-wire bare conductor line,LT 1-Ph,2:1;4:1;6:2,1:1;2:1;3:2
S-DTR-25,25kVA DTR Structure,Complete 25kVA Distribution Transformer Structure,DTR,2:2;4:2;6:8;11:1;15:5,8:1;9:1
S-DTR-63,63kVA DTR Structure,Complete 63kVA Distribution Transformer Structure,DTR,1:2;4:2;6:8;11:1;15:8,8:1;9:1
S-DTR-100,100kVA DTR Structure,Complete 100kVA Distribution Transformer Structure,DTR,1:2;3:1;4:2;6:8;11:1;15:10,8:1;9:2
S-STAY-STD,Standard Stay Set,Single standard stay/guy arrangement,33 kV|11 kV|LT 3-Ph|LT 1-Ph,14:1,7:1
S-EARTH-PIPE,Pipe Type Earthing,Standard pipe type earthing installation,DTR|33 kV|11 kV|LT 3-Ph|LT 1-Ph,,9:1
S-SVC-1P,Single Phase Service Connection,Service connection from pole to premises (25m),LT 1-Ph,10:25,6:0.25;10:1
S-SVC-3P,Three Phase Service Connection,Service connection from pole to premises (25m),LT 3-Ph,10:25,6:0.25;10:1
